ID,Responded Campaign,Owns Multiple Phone Numbers,Average text messages (90 day period)
ID,Responded Campaign,Owns Multiple Phone Numbers,Average text messages (90 day period)
6,Android Phone,N,1807
8,Android Phone,N,1364
18,Android Phone,N,1407
29,Android Phone,N,1043
37,Android Phone,N,841
42,Android Phone,N,1573
52,Android Phone,N,1590
53,Android Phone,N,1205
60,Android Phone,N,1441
61,Android Phone,N,1696
68,Android Phone,Y,1728
77,Android Phone,N,1019
86,Android Phone,Y,1718
89,Android Phone,N,1680
92,Android Phone,N,1717
95,Android Phone,N,1811
104,Android Phone,N,1431
109,Android Phone,N,1211
133,Android Phone,N,1666
135,Android Phone,N,1889
136,Android Phone,N,1638
140,Android Phone,N,1145
148,Android Phone,N,1900
154,Android Phone,N,1127
166,Android Phone,N,1276
178,Android Phone,N,1621
190,Android Phone,N,1530
206,Android Phone,N,1640
207,Android Phone,N,1599
214,Android Phone,N,1807
215,Android Phone,N,1016
219,Android Phone,N,1536
221,Android Phone,N,1311
222,Android Phone,N,1187
232,Android Phone,N,1064
237,Android Phone,N,1873
238,Android Phone,N,1362
241,Android Phone,N,1153
244,Android Phone,N,1880
250,Android Phone,N,1535
257,Android Phone,N,1646
263,Android Phone,N,1217
265,Android Phone,N,1405
272,Android Phone,N,
279,Android Phone,N,1723
285,Android Phone,N,1644
288,Android Phone,N,1565
290,Android Phone,N,1605
291,Android Phone,N,1169
310,Android Phone,N,2168
312,Android Phone,N,1515
317,Android Phone,N,1111
318,Android Phone,N,1198
322,Android Phone,N,1672
326,Android Phone,N,1333
333,Android Phone,N,1466
335,Android Phone,N,1108
336,Android Phone,N,1822
337,Android Phone,N,1457
339,Android Phone,N,177
341,Android Phone,N,1214
346,Android Phone,N,1809
350,Android Phone,N,1129
351,Android Phone,N,1548
358,Android Phone,N,990
360,Android Phone,N,1707
363,Android Phone,N,1277
365,Android Phone,N,1598
370,Android Phone,N,2083
372,Android Phone,N,1897
377,Android Phone,N,1872
383,Android Phone,N,1614
389,Android Phone,N,493
391,Android Phone,N,1587
392,Android Phone,N,1715
394,Android Phone,N,1586
398,Android Phone,N,1548
405,Android Phone,N,1555
414,Android Phone,N,1465
418,Android Phone,N,1533
426,Android Phone,N,1780
428,Android Phone,N,1626
439,Android Phone,N,1625
456,Android Phone,N,1874
460,Android Phone,N,1565
464,Android Phone,N,1826
466,Android Phone,N,1830
467,Android Phone,N,1133
470,Android Phone,N,1546
472,Android Phone,N,1791
473,Android Phone,N,1333
475,Android Phone,N,2174
478,Android Phone,N,1570
491,Android Phone,N,1893
492,Android Phone,N,1368
493,Android Phone,N,1497
500,Android Phone,N,1382
506,Android Phone,N,1257
513,Android Phone,N,1634
520,Android Phone,N,1737
523,Android Phone,N,1014
526,Android Phone,N,1698
529,Android Phone,N,1106
541,Android Phone,N,1765
550,Android Phone,N,363
552,Android Phone,N,1536
561,Android Phone,N,1456
564,Android Phone,N,1202
572,Android Phone,N,1602
573,Android Phone,N,1581
580,Android Phone,N,1436
587,Android Phone,N,1229
591,Android Phone,N,1215
592,Android Phone,N,1280
593,Android Phone,N,1823
596,Android Phone,N,1719
604,Android Phone,N,2183
606,Android Phone,N,417
616,Android Phone,N,1141
622,Android Phone,N,1596
626,Android Phone,N,1099
629,Android Phone,N,1551
633,Android Phone,N,1636
639,Android Phone,N,1960
645,Android Phone,N,1595
648,Android Phone,N,1596
652,Android Phone,N,1801
681,Android Phone,N,1385
690,Android Phone,N,1991
692,Android Phone,N,1733
694,Android Phone,N,1341
702,Android Phone,N,1562
713,Android Phone,N,1442
719,Android Phone,N,1768
733,Android Phone,N,1733
737,Android Phone,N,1674
746,Android Phone,N,1803
750,Android Phone,N,1604
759,Android Phone,N,1570
761,Android Phone,N,1322
773,Android Phone,N,1823
775,Android Phone,N,1694
777,Android Phone,N,1778
779,Android Phone,N,1208
782,Android Phone,N,1588
785,Android Phone,N,$null$
793,Android Phone,N,1652
797,Android Phone,N,1402
803,Android Phone,N,1777
810,Android Phone,N,1538
814,Android Phone,N,1350
822,Android Phone,N,1859
827,Android Phone,N,1591
830,Android Phone,N,1769
838,Android Phone,N,1740
848,Android Phone,N,1126
853,Android Phone,N,1219
861,Android Phone,N,1574
863,Android Phone,N,1133
865,Android Phone,N,1771
873,Android Phone,N,1688
875,Android Phone,N,1155
878,Android Phone,N,1406
896,Android Phone,N,1712
910,Android Phone,N,1574
913,Android Phone,N,1623
916,Android Phone,N,1271
920,Android Phone,N,1638
931,Android Phone,N,1262
939,Android Phone,N,1772
941,Android Phone,N,1547
943,Android Phone,N,1176
957,Android Phone,N,1386
958,Android Phone,N,2140
970,Android Phone,N,1797
972,Android Phone,N,1640
976,Android Phone,N,1409
982,Android Phone,N,1091
984,Android Phone,N,1113
990,Android Phone,N,1238
991,Android Phone,N,1578
993,Android Phone,N,1642
1000,Android Phone,N,1888
1004,Android Phone,N,1726
1007,Android Phone,N,1174
1009,Android Phone,N,1246
1010,Android Phone,N,1215
1011,Android Phone,N,1742
1025,Android Phone,N,1750
1030,Android Phone,N,1921
1038,Android Phone,N,1281
1048,Android Phone,N,1422
1053,Android Phone,N,1740
1059,Android Phone,N,1800
1060,Android Phone,N,1977
1061,Android Phone,N,1026
1062,Android Phone,N,1699
1076,Android Phone,N,1542
1086,Android Phone,N,1588
1087,Android Phone,N,1737
1095,Android Phone,N,1398
1099,Android Phone,N,1858
1114,Android Phone,N,1468
1128,Android Phone,N,1367
1135,Android Phone,N,1381
1138,Android Phone,N,1801
1145,Android Phone,N,1212
1148,Android Phone,N,1839
1164,Android Phone,N,1107
1190,Android Phone,N,1282
1193,Android Phone,N,1468
1202,Android Phone,N,1312
1204,Android Phone,N,1677
1214,Android Phone,N,1411
1215,Android Phone,N,1462
1219,Android Phone,N,1231
1225,Android Phone,N,1507
1226,Android Phone,N,2232
1227,Android Phone,N,1348
1229,Android Phone,N,2060
1237,Android Phone,N,1627
1249,Android Phone,N,1253
1258,Android Phone,N,1529
1262,Android Phone,N,1849
1263,Android Phone,N,1862
1264,Android Phone,N,366
1265,Android Phone,N,1020
1273,Android Phone,N,1516
1274,Android Phone,N,1034
1275,Android Phone,N,260
1276,Android Phone,N,1585
1278,Android Phone,N,1036
1279,Android Phone,N,2191
1283,Android Phone,N,1584
1286,Android Phone,N,1708
1287,Android Phone,N,2059
1288,Android Phone,N,1368
1289,Android Phone,N,649
1303,Android Phone,N,1644
1306,Android Phone,N,1610
1308,Android Phone,N,2497
1312,Android Phone,N,1163
1315,Android Phone,N,1273
1319,Android Phone,N,1067
1322,Android Phone,N,1310
1323,Android Phone,N,1086
1326,Android Phone,N,1189
1331,Android Phone,N,1569
1333,Android Phone,N,1788
1335,Android Phone,N,1065
1337,Android Phone,N,2175
1352,Android Phone,N,1772
1353,Android Phone,N,1229
1355,Android Phone,N,1468
1359,Android Phone,N,2481
1360,Android Phone,N,1236
1361,Android Phone,N,1061
1362,Android Phone,N,1653
1367,Android Phone,N,2296
1369,Android Phone,N,1346
1377,Android Phone,N,1084
1378,Android Phone,N,1633
1394,Android Phone,N,1203
1399,Android Phone,N,1617
1401,Android Phone,N,1063
1406,Android Phone,N,1585
1412,Android Phone,N,1107
1413,Android Phone,N,1566
1425,Android Phone,N,1741
1428,Android Phone,N,1713
1443,Android Phone,N,1835
1446,Android Phone,N,2699
1451,Android Phone,N,2640
1455,Android Phone,N,1856
1460,Android Phone,N,1154
1462,Android Phone,N,1921
1464,Android Phone,N,1512
1467,Android Phone,N,2152
1470,Android Phone,N,2174
1474,Android Phone,N,1405
1488,Android Phone,N,661
1489,Android Phone,N,687
1490,Android Phone,N,1524
1492,Android Phone,N,2224
1498,Android Phone,N,1878
1499,Android Phone,N,1237
1500,Android Phone,N,1713
1505,Android Phone,N,1388
1512,Android Phone,N,1714
1515,Android Phone,N,1898
1519,Android Phone,N,1508
1533,Android Phone,N,1111
1534,Android Phone,N,1393
1542,Android Phone,N,1785
1550,Android Phone,N,1103
1554,Android Phone,N,1676
1557,Android Phone,N,1556
1558,Android Phone,N,1911
1559,Android Phone,N,1463
1560,Android Phone,N,460
1573,Android Phone,N,2467
1581,Android Phone,N,1623
1584,Android Phone,N,1821
1588,Android Phone,N,1770
1590,Android Phone,N,1540
1591,Android Phone,N,1681
1607,Android Phone,N,1549
1609,Android Phone,N,1367
1615,Android Phone,N,1593
1616,Android Phone,N,1080
1617,Android Phone,N,1011
1622,Android Phone,N,1807
1639,Android Phone,N,1024
1645,Android Phone,N,2291
1647,Android Phone,N,1354
1650,Android Phone,N,1537
1653,Android Phone,N,1709
1663,Android Phone,N,1536
1669,Android Phone,N,1842
1674,Android Phone,N,1643
1675,Android Phone,N,1661
1676,Android Phone,N,1624
1690,Android Phone,N,1727
1710,Android Phone,N,1577
1726,Android Phone,N,1321
1734,Android Phone,N,1125
1739,Android Phone,N,1542
1742,Android Phone,N,1195
1745,Android Phone,N,2032
1754,Android Phone,N,1819
1756,Android Phone,N,2427
1769,Android Phone,N,1170
1770,Android Phone,N,2113
1772,Android Phone,N,2451
1773,Android Phone,N,1208
1775,Android Phone,N,1894
1776,Android Phone,N,2159
1777,Android Phone,N,1767
1779,Android Phone,N,945
1780,Android Phone,N,1208
1802,Android Phone,N,2255
1806,Android Phone,N,2125
1808,Android Phone,N,1356
1809,Android Phone,N,1808
1820,Android Phone,N,1506
1834,Android Phone,N,1760
1838,Android Phone,N,1590
1841,Android Phone,N,1147
1842,Android Phone,N,1362
1844,Android Phone,N,2329
1848,Android Phone,N,2149
1853,Android Phone,N,2613
1854,Android Phone,N,1547
1858,Android Phone,N,1628
1862,Android Phone,N,1417
1865,Android Phone,N,1637
1867,Android Phone,N,1365
1871,Android Phone,N,344
1873,Android Phone,N,1289
1875,Android Phone,N,1529
1882,Android Phone,N,1429
1896,Android Phone,N,1885
1902,Android Phone,N,1576
1908,Android Phone,N,1298
1911,Android Phone,N,2560
1918,Android Phone,N,1893
1922,Android Phone,N,1819
1924,Android Phone,N,1503
1940,Android Phone,N,1669
1943,Android Phone,N,1578
1944,Android Phone,N,1746
1950,Android Phone,N,1540
1957,Android Phone,N,1686
1959,Android Phone,N,1821
1960,Android Phone,N,2040
1965,Android Phone,N,1554
1974,Android Phone,N,1353
1978,Android Phone,N,1099
1996,Android Phone,N,1876
1997,Android Phone,N,1613
2000,Android Phone,N,1730
2001,Android Phone,N,2368
2003,Android Phone,N,909
